Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet,,,,,,,,,,ordered?,do I have in bring home box?,
"C1,C2,C4,C5,C7,C17,C18,C19",8,.1uF,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,,,,,,,,y,y but they are 0603,
"C3,C6",2,1uF,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,,,,,,,,y,y,
"C8,C9",2,C,,,,Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,,,,,,,,,,,y,y,
"C10,C11,C12",3,1.0uF,,,,Capacitor_SMD:C_1206_3216Metric,,,,,,,,,,,y,y,
C13,1,100nF,,,,Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,,,,,,,,,,y,y,
C14,1,100nF,,,,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,,,,,,,,,,,y,y,
"C15,C16",2,10.0uF,,,,Capacitor_SMD:C_1210_3225Metric,,,,,,,,,,,y,y,
"D1,D2",2,LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,,,,,,,,,,y,y,
IC1,1,TC1108-3.3VDBTR,,,,SamacSys_Parts:SOT230P700X180-4N,http://ww1.microchip.com/downloads/en/DeviceDoc/21357C.pdf,,,,,,,,,,y,y,
J1,1,RJ45,,,,Connector_RJ:RJ45_Amphenol_54602-x08_Horizontal,,,,,,,,,,,alr have,y,
J2,1,Conn_02x05_Odd_Even,,,,Connector_PinSocket_2.54mm:PinSocket_2x05_P2.54mm_Vertical,,,,,,,,,,,alr have,y,
J3,1,Conn_01x03,,,,Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical,,,,,,,,,,,alr have,y,
J4,1,Conn_01x05,DNP,,Excluded from board,Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical,,,,,,,,,,,,,
L1,1,22uH,,,,Inductor_SMD:L_Bourns_SRR1208_12.7x12.7mm,,,,,,,,,,,y,y,
M1,1,Motor_DC,,,Excluded from board,,,,,,,,,,,,,,
"MP1,MP2,MP3,MP4",4,WP-BUFU,,,,WP-BUFU:WP-BUFU_7461097,,,,,,,,,,,y,y,
Q2,1,NTBLS4D0N15MC,,,,SamacSys_Parts:NTBLS4D0N15MC,https://www.onsemi.com/pub/Collateral/NTBLS4D0N15MC-D.PDF,,,,,,,,,,y,y,
R1,1,120,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,,,,,,,,,,
R3,1,100k,,,,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,,,,,,,,,,,y,y,
R4,1,7.15k,,,,Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,,,,,,,,,,y,y,
R9,1,10,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,10ohm,,,,,,,,,y,y,
R10,1,10k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,,,,,,,,y,y,
"R14,R15",2,300,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,,,,,,,,alr have,,ig not bringing these home
R16,1,100k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,,,,,,,,y,y,
R17,1,3k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,,,,,,,,y,y,
TP7,1,TestPoint,,,,TestPoint:TestPoint_Pad_D1.0mm,,,,,,,,,,,,,
U1,1,STM32F103C8Tx,,,,Package_QFP:LQFP-48_7x7mm_P0.5mm,https://www.st.com/resource/en/datasheet/stm32f103c8.pdf,,,,,,,,,,y,y,
U2,1,ISO1050DUB,,,,Package_SO:SOP-8_6.62x9.15mm_P2.54mm,http://www.ti.com/lit/ds/symlink/iso1050.pdf,,,,,,,,,,alr have,y,
U3,1,LMR51625YDDCR,,,,BrushedDC2:BUCK_LMR51625YDDCR,https://www.ti.com/lit/gpn/lmr51625,,,,,,,,,,y,y,
U4,1,DGD0211CWT-7,,,,gatedriver:TSOT25-TH_DIO,DGD0211CWT-7,,,,,,,,,,y at home,,
U5,1,STPS30H100DJF-TR,,,,BrushedDC2:MOSFET_100DJF-TR_STM,https://www.st.com/resource/en/datasheet/stps30h100djf.pdf,,,,,,,,,,y,y,
VR1,1,P120PK-Y25BR10K,,,,SamacSys_Parts:P120PKY25BR10K,https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Datasheet/P120.pdf,,,,,,,,,,y,y,
